id,type,file
CKV_ALI_27,KMSKeyRotationIsEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/KMSKeyRotationIsEnabled.py
CKV_ALI_28,KMSKeyIsEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/KMSKeyIsEnabled.py
CKV_ALI_29,ALBACLIsUnrestricted,github/checkov/checkov/terraform/checks/resource/alicloud/ALBACLIsUnrestricted.py
CKV_ALI_30,RDSInstanceAutoUpgrade,github/checkov/checkov/terraform/checks/resource/alicloud/RDSInstanceAutoUpgrade.py
CKV_ALI_31,K8sNodePoolAutoRepair,github/checkov/checkov/terraform/checks/resource/alicloud/K8sNodePoolAutoRepair.py
CKV_ALI_32,LaunchTemplateDisksAreEncrypted,github/checkov/checkov/terraform/checks/resource/alicloud/LaunchTemplateDisksAreEncrypted.py
CKV_ALI_33,TLSPoliciesAreSecure,github/checkov/checkov/terraform/checks/resource/alicloud/TLSPoliciesAreSecure.py
CKV_ALI_35,RDSInstanceLogsEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/RDSInstanceLogsEnabled.py
CKV_ALI_36,RDSInstanceLogDisconnections,github/checkov/checkov/terraform/checks/resource/alicloud/RDSInstanceLogDisconnections.py
CKV_ALI_37,RDSInstanceLogConnections,github/checkov/checkov/terraform/checks/resource/alicloud/RDSInstanceLogConnections.py
CKV_ALI_38,LogAuditRDSEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/LogAuditRDSEnabled.py
CKV_ALI_41,MongoDBInsideVPC,github/checkov/checkov/terraform/checks/resource/alicloud/MongoDBInsideVPC.py
CKV_ALI_42,MongoDBInstanceSSL,github/checkov/checkov/terraform/checks/resource/alicloud/MongoDBInstanceSSL.py
CKV_ALI_43,MongoDBIsPublic,github/checkov/checkov/terraform/checks/resource/alicloud/MongoDBIsPublic.py
CKV_ALI_44,MongoDBTransparentDataEncryptionEnabled,github/checkov/checkov/terraform/checks/resource/alicloud/MongoDBTransparentDataEncryptionEnabled.py
CKV_ANSIBLE_1,UriValidateCerts,github/checkov/checkov/ansible/checks/task/builtin/UriValidateCerts.py
CKV_ANSIBLE_2,GetUrlValidateCerts,github/checkov/checkov/ansible/checks/task/builtin/GetUrlValidateCerts.py
CKV_ANSIBLE_3,YumValidateCerts,github/checkov/checkov/ansible/checks/task/builtin/YumValidateCerts.py
CKV_ANSIBLE_4,YumSslVerify,github/checkov/checkov/ansible/checks/task/builtin/YumSslVerify.py
CKV_ANSIBLE_5,AptAllowUnauthenticated,github/checkov/checkov/ansible/checks/task/builtin/AptAllowUnauthenticated.py
CKV_ANSIBLE_6,AptForce,github/checkov/checkov/ansible/checks/task/builtin/AptForce.py
CKV2_ANSIBLE_1,UriHttpsOnly,github/checkov/checkov/ansible/checks/graph_checks/UriHttpsOnly.yaml
CKV2_ANSIBLE_2,GetUrlHttpsOnly,github/checkov/checkov/ansible/checks/graph_checks/GetUrlHttpsOnly.yaml
CKV2_ANSIBLE_3,BlockErrorHandling,github/checkov/checkov/ansible/checks/graph_checks/BlockErrorHandling.yaml
CKV2_ANSIBLE_4,DnfDisableGpgCheck,github/checkov/checkov/ansible/checks/graph_checks/DnfDisableGpgCheck.yaml
CKV2_ANSIBLE_5,DnfSslVerify,github/checkov/checkov/ansible/checks/graph_checks/DnfSslVerify.yaml
CKV2_ANSIBLE_6,DnfValidateCerts,github/checkov/checkov/ansible/checks/graph_checks/DnfValidateCerts.yaml
CKV_ARGO_1,DefaultServiceAccount,github/checkov/checkov/argo_workflows/checks/template/DefaultServiceAccount.py
CKV_ARGO_2,RunAsNonRoot,github/checkov/checkov/argo_workflows/checks/template/RunAsNonRoot.py
CKV_AWS_1,AdminPolicyDocument,github/checkov/checkov/terraform/checks/data/aws/AdminPolicyDocument.py
CKV_AWS_1,AdminPolicyDocument,github/checkov/checkov/serverless/checks/function/aws/AdminPolicyDocument.py
CKV_AWS_2,ALBListenerHTTPS,github/checkov/checkov/cloudformation/checks/resource/aws/ALBListenerHTTPS.py
CKV_AWS_2,ALBListenerHTTPS,github/checkov/checkov/terraform/checks/resource/aws/ALBListenerHTTPS.py
CKV_AWS_3,EBSEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/EBSEncryption.py
CKV_AWS_3,EBSEncryption,github/checkov/checkov/terraform/checks/resource/aws/EBSEncryption.py
CKV_AWS_5,ElasticsearchEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticsearchEncryption.py
CKV_AWS_5,ElasticsearchEncryption,github/checkov/checkov/terraform/checks/resource/aws/ElasticsearchEncryption.py
CKV_AWS_6,ElasticsearchNodeToNodeEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticsearchNodeToNodeEncryption.py
CKV_AWS_6,ElasticsearchNodeToNodeEncryption,github/checkov/checkov/terraform/checks/resource/aws/ElasticsearchNodeToNodeEncryption.py
CKV_AWS_7,KMSRotation,github/checkov/checkov/cloudformation/checks/resource/aws/KMSRotation.py
CKV_AWS_7,KMSRotation,github/checkov/checkov/terraform/checks/resource/aws/KMSRotation.py
CKV_AWS_8,LaunchConfigurationEBSEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/LaunchConfigurationEBSEncryption.py
CKV_AWS_8,LaunchConfigurationEBSEncryption,github/checkov/checkov/terraform/checks/resource/aws/LaunchConfigurationEBSEncryption.py
CKV_AWS_9,PasswordPolicyExpiration,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyExpiration.py
CKV_AWS_10,PasswordPolicyLength,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyLength.py
CKV_AWS_11,PasswordPolicyLowercaseLetter,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyLowercaseLetter.py
CKV_AWS_12,PasswordPolicyNumber,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyNumber.py
CKV_AWS_13,PasswordPolicyReuse,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyReuse.py
CKV_AWS_14,PasswordPolicySymbol,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicySymbol.py
CKV_AWS_15,PasswordPolicyUppercaseLetter,github/checkov/checkov/terraform/checks/resource/aws/PasswordPolicyUppercaseLetter.py
CKV_AWS_16,RDSEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/RDSEncryption.py
CKV_AWS_16,RDSEncryption,github/checkov/checkov/terraform/checks/resource/aws/RDSEncryption.py
CKV_AWS_17,RDSPubliclyAccessible,github/checkov/checkov/cloudformation/checks/resource/aws/RDSPubliclyAccessible.py
CKV_AWS_17,RDSPubliclyAccessible,github/checkov/checkov/terraform/checks/resource/aws/RDSPubliclyAccessible.py
CKV_AWS_18,S3AccessLogs,github/checkov/checkov/cloudformation/checks/resource/aws/S3AccessLogs.py
CKV_AWS_18,S3BucketLogging,github/checkov/checkov/terraform/checks/graph_checks/aws/S3BucketLogging.yaml
CKV_AWS_19,S3Encryption,github/checkov/checkov/cloudformation/checks/resource/aws/S3Encryption.py
CKV_AWS_19,S3BucketEncryption,github/checkov/checkov/terraform/checks/graph_checks/aws/S3BucketEncryption.yaml
CKV_AWS_20,S3PublicACLRead,github/checkov/checkov/cloudformation/checks/resource/aws/S3PublicACLRead.py
CKV_AWS_20,S3PublicACLRead,github/checkov/checkov/terraform/checks/graph_checks/aws/S3PublicACLRead.yaml
CKV_AWS_21,S3Versioning,github/checkov/checkov/cloudformation/checks/resource/aws/S3Versioning.py
CKV_AWS_21,S3BucketVersioning,github/checkov/checkov/terraform/checks/graph_checks/aws/S3BucketVersioning.yaml
CKV_AWS_22,SagemakerNotebookEncryption,github/checkov/checkov/terraform/checks/resource/aws/SagemakerNotebookEncryption.py
CKV_AWS_23,SecurityGroupRuleDescription,github/checkov/checkov/cloudformation/checks/resource/aws/SecurityGroupRuleDescription.py
CKV_AWS_23,SecurityGroupRuleDescription,github/checkov/checkov/terraform/checks/resource/aws/SecurityGroupRuleDescription.py
CKV_AWS_24,SecurityGroupUnrestrictedIngress22,github/checkov/checkov/cloudformation/checks/resource/aws/SecurityGroupUnrestrictedIngress22.py
CKV_AWS_24,SecurityGroupUnrestrictedIngress22,github/checkov/checkov/terraform/checks/resource/aws/SecurityGroupUnrestrictedIngress22.py
CKV_AWS_25,SecurityGroupUnrestrictedIngress3389,github/checkov/checkov/cloudformation/checks/resource/aws/SecurityGroupUnrestrictedIngress3389.py
CKV_AWS_25,SecurityGroupUnrestrictedIngress3389,github/checkov/checkov/terraform/checks/resource/aws/SecurityGroupUnrestrictedIngress3389.py
CKV_AWS_26,SNSTopicEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/SNSTopicEncryption.py
CKV_AWS_26,SNSTopicEncryption,github/checkov/checkov/terraform/checks/resource/aws/SNSTopicEncryption.py
CKV_AWS_27,SQSQueueEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/SQSQueueEncryption.py
CKV_AWS_27,SQSQueueEncryption,github/checkov/checkov/terraform/checks/resource/aws/SQSQueueEncryption.py
CKV_AWS_28,DynamodbRecovery,github/checkov/checkov/cloudformation/checks/resource/aws/DynamodbRecovery.py
CKV_AWS_28,DynamodbRecovery,github/checkov/checkov/terraform/checks/resource/aws/DynamodbRecovery.py
CKV_AWS_29,ElasticacheReplicationGroupEncryptionAtRest,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtRest.py
CKV_AWS_29,ElasticacheReplicationGroupEncryptionAtRest,github/checkov/checkov/terraform/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtRest.py
CKV_AWS_30,ElasticacheReplicationGroupEncryptionAtTransit,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtTransit.py
CKV_AWS_30,ElasticacheReplicationGroupEncryptionAtTransit,github/checkov/checkov/terraform/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtTransit.py
CKV_AWS_31,ElasticacheReplicationGroupEncryptionAtTransitAuthToken,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtTransitAuthToken.py
CKV_AWS_31,ElasticacheReplicationGroupEncryptionAtTransitAuthToken,github/checkov/checkov/terraform/checks/resource/aws/ElasticacheReplicationGroupEncryptionAtTransitAuthToken.py
CKV_AWS_32,ECRPolicy,github/checkov/checkov/cloudformation/checks/resource/aws/ECRPolicy.py
CKV_AWS_32,ECRPolicy,github/checkov/checkov/terraform/checks/resource/aws/ECRPolicy.py
CKV_AWS_33,KMSKeyWildCardPrincipal,github/checkov/checkov/cloudformation/checks/resource/aws/KMSKeyWildCardPrincipal.py
CKV_AWS_33,KMSKeyWildcardPrincipal,github/checkov/checkov/terraform/checks/resource/aws/KMSKeyWildcardPrincipal.py
CKV_AWS_34,CloudfrontDistributionEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/CloudfrontDistributionEncryption.py
CKV_AWS_34,CloudfrontDistributionEncryption,github/checkov/checkov/terraform/checks/resource/aws/CloudfrontDistributionEncryption.py
CKV_AWS_35,CloudtrailEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/CloudtrailEncryption.py
CKV_AWS_35,CloudtrailEncryptionWithCMK,github/checkov/checkov/terraform/checks/resource/aws/CloudtrailEncryptionWithCMK.py
CKV_AWS_36,CloudtrailLogValidation,github/checkov/checkov/cloudformation/checks/resource/aws/CloudtrailLogValidation.py
CKV_AWS_36,CloudtrailLogValidation,github/checkov/checkov/terraform/checks/resource/aws/CloudtrailLogValidation.py
CKV_AWS_37,EKSControlPlaneLogging,github/checkov/checkov/terraform/checks/resource/aws/EKSControlPlaneLogging.py
CKV_AWS_38,EKSPublicAccessCIDR,github/checkov/checkov/terraform/checks/resource/aws/EKSPublicAccessCIDR.py
CKV_AWS_39,EKSPublicAccess,github/checkov/checkov/terraform/checks/resource/aws/EKSPublicAccess.py
CKV_AWS_40,IAMPolicyAttachedToGroupOrRoles,github/checkov/checkov/cloudformation/checks/resource/aws/IAMPolicyAttachedToGroupOrRoles.py
CKV_AWS_40,IAMPolicyAttachedToGroupOrRoles,github/checkov/checkov/terraform/checks/resource/aws/IAMPolicyAttachedToGroupOrRoles.py
CKV_AWS_41,credentials,github/checkov/checkov/terraform/checks/provider/aws/credentials.py
CKV_AWS_41,AWSCredentials,github/checkov/checkov/serverless/checks/function/aws/AWSCredentials.py
CKV_AWS_42,EFSEncryptionEnabled,github/checkov/checkov/cloudformation/checks/resource/aws/EFSEncryptionEnabled.py
CKV_AWS_42,EFSEncryptionEnabled,github/checkov/checkov/terraform/checks/resource/aws/EFSEncryptionEnabled.py
CKV_AWS_43,KinesisStreamEncryptionType,github/checkov/checkov/cloudformation/checks/resource/aws/KinesisStreamEncryptionType.py
CKV_AWS_43,KinesisStreamEncryptionType,github/checkov/checkov/terraform/checks/resource/aws/KinesisStreamEncryptionType.py
CKV_AWS_44,NeptuneClusterStorageEncrypted,github/checkov/checkov/cloudformation/checks/resource/aws/NeptuneClusterStorageEncrypted.py
CKV_AWS_44,NeptuneClusterStorageEncrypted,github/checkov/checkov/terraform/checks/resource/aws/NeptuneClusterStorageEncrypted.py
CKV_AWS_45,LambdaEnvironmentCredentials,github/checkov/checkov/cloudformation/checks/resource/aws/LambdaEnvironmentCredentials.py
CKV_AWS_45,LambdaEnvironmentCredentials,github/checkov/checkov/terraform/checks/resource/aws/LambdaEnvironmentCredentials.py
CKV_AWS_46,EC2Credentials,github/checkov/checkov/cloudformation/checks/resource/aws/EC2Credentials.py
CKV_AWS_46,EC2Credentials,github/checkov/checkov/terraform/checks/resource/aws/EC2Credentials.py
CKV_AWS_47,DAXEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/DAXEncryption.py
CKV_AWS_47,DAXEncryption,github/checkov/checkov/terraform/checks/resource/aws/DAXEncryption.py
CKV_AWS_48,MQBrokerLogging,github/checkov/checkov/terraform/checks/resource/aws/MQBrokerLogging.py
CKV_AWS_49,StarActionPolicyDocument,github/checkov/checkov/terraform/checks/data/aws/StarActionPolicyDocument.py
CKV_AWS_49,StarActionPolicyDocument,github/checkov/checkov/serverless/checks/function/aws/StarActionPolicyDocument.py
CKV_AWS_50,LambdaXrayEnabled,github/checkov/checkov/terraform/checks/resource/aws/LambdaXrayEnabled.py
CKV_AWS_51,ECRImmutableTags,github/checkov/checkov/cloudformation/checks/resource/aws/ECRImmutableTags.py
CKV_AWS_51,ECRImmutableTags,github/checkov/checkov/terraform/checks/resource/aws/ECRImmutableTags.py
CKV_AWS_53,S3BlockPublicACLs,github/checkov/checkov/cloudformation/checks/resource/aws/S3BlockPublicACLs.py
CKV_AWS_53,S3BlockPublicACLs,github/checkov/checkov/terraform/checks/resource/aws/S3BlockPublicACLs.py
CKV_AWS_54,S3BlockPublicPolicy,github/checkov/checkov/cloudformation/checks/resource/aws/S3BlockPublicPolicy.py
CKV_AWS_54,S3BlockPublicPolicy,github/checkov/checkov/terraform/checks/resource/aws/S3BlockPublicPolicy.py
CKV_AWS_55,S3IgnorePublicACLs,github/checkov/checkov/cloudformation/checks/resource/aws/S3IgnorePublicACLs.py
CKV_AWS_55,S3IgnorePublicACLs,github/checkov/checkov/terraform/checks/resource/aws/S3IgnorePublicACLs.py
CKV_AWS_56,S3RestrictPublicBuckets,github/checkov/checkov/cloudformation/checks/resource/aws/S3RestrictPublicBuckets.py
CKV_AWS_56,S3RestrictPublicBuckets,github/checkov/checkov/terraform/checks/resource/aws/S3RestrictPublicBuckets.py
CKV_AWS_57,S3PublicACLWrite,github/checkov/checkov/cloudformation/checks/resource/aws/S3PublicACLWrite.py
CKV_AWS_57,S3PublicACLWrite,github/checkov/checkov/terraform/checks/graph_checks/aws/S3PublicACLWrite.yaml
CKV_AWS_58,EKSSecretsEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/EKSSecretsEncryption.py
CKV_AWS_58,EKSSecretsEncryption,github/checkov/checkov/terraform/checks/resource/aws/EKSSecretsEncryption.py
CKV_AWS_59,APIGatewayAuthorization,github/checkov/checkov/cloudformation/checks/resource/aws/APIGatewayAuthorization.py
CKV_AWS_59,APIGatewayAuthorization,github/checkov/checkov/terraform/checks/resource/aws/APIGatewayAuthorization.py
CKV_AWS_60,IAMRoleAllowsPublicAssume,github/checkov/checkov/cloudformation/checks/resource/aws/IAMRoleAllowsPublicAssume.py
CKV_AWS_60,IAMRoleAllowsPublicAssume,github/checkov/checkov/terraform/checks/resource/aws/IAMRoleAllowsPublicAssume.py
CKV_AWS_61,IAMRoleAllowAssumeFromAccount,github/checkov/checkov/cloudformation/checks/resource/aws/IAMRoleAllowAssumeFromAccount.py
CKV_AWS_61,IAMRoleAllowAssumeFromAccount,github/checkov/checkov/terraform/checks/resource/aws/IAMRoleAllowAssumeFromAccount.py
CKV_AWS_62,IAMAdminPolicyDocument,github/checkov/checkov/cloudformation/checks/resource/aws/IAMAdminPolicyDocument.py
CKV_AWS_62,IAMAdminPolicyDocument,github/checkov/checkov/terraform/checks/resource/aws/IAMAdminPolicyDocument.py
CKV_AWS_63,IAMStarActionPolicyDocument,github/checkov/checkov/cloudformation/checks/resource/aws/IAMStarActionPolicyDocument.py
CKV_AWS_63,IAMStarActionPolicyDocument,github/checkov/checkov/terraform/checks/resource/aws/IAMStarActionPolicyDocument.py
CKV_AWS_64,RedshiftClusterEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/RedshiftClusterEncryption.py
CKV_AWS_64,RedshiftClusterEncryption,github/checkov/checkov/terraform/checks/resource/aws/RedshiftClusterEncryption.py
CKV_AWS_65,ECSClusterContainerInsights,github/checkov/checkov/cloudformation/checks/resource/aws/ECSClusterContainerInsights.py
CKV_AWS_65,ECSClusterContainerInsights,github/checkov/checkov/terraform/checks/resource/aws/ECSClusterContainerInsights.py
CKV_AWS_66,CloudWatchLogGroupRetention,github/checkov/checkov/cloudformation/checks/resource/aws/CloudWatchLogGroupRetention.py
CKV_AWS_66,CloudWatchLogGroupRetention,github/checkov/checkov/terraform/checks/resource/aws/CloudWatchLogGroupRetention.py
CKV_AWS_67,CloudtrailMultiRegion,github/checkov/checkov/cloudformation/checks/resource/aws/CloudtrailMultiRegion.py
CKV_AWS_67,CloudtrailMultiRegion,github/checkov/checkov/terraform/checks/resource/aws/CloudtrailMultiRegion.py
CKV_AWS_68,WAFEnabled,github/checkov/checkov/cloudformation/checks/resource/aws/WAFEnabled.py
CKV_AWS_68,WAFEnabled,github/checkov/checkov/terraform/checks/resource/aws/WAFEnabled.py
CKV_AWS_69,AmazonMQBrokerPublicAccess,github/checkov/checkov/cloudformation/checks/resource/aws/AmazonMQBrokerPublicAccess.py
CKV_AWS_69,MQBrokerNotPubliclyExposed,github/checkov/checkov/terraform/checks/resource/aws/MQBrokerNotPubliclyExposed.py
CKV_AWS_70,S3AllowsAnyPrincipal,github/checkov/checkov/terraform/checks/resource/aws/S3AllowsAnyPrincipal.py
CKV_AWS_71,RedshiftClusterLogging,github/checkov/checkov/cloudformation/checks/resource/aws/RedshiftClusterLogging.py
CKV_AWS_71,RedshiftClusterLogging,github/checkov/checkov/terraform/checks/resource/aws/RedshiftClusterLogging.py
CKV_AWS_72,SQSPolicy,github/checkov/checkov/terraform/checks/resource/aws/SQSPolicy.py
CKV_AWS_73,APIGatewayXray,github/checkov/checkov/cloudformation/checks/resource/aws/APIGatewayXray.py
CKV_AWS_73,APIGatewayXray,github/checkov/checkov/terraform/checks/resource/aws/APIGatewayXray.py
CKV_AWS_74,DocDBEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/DocDBEncryption.py
CKV_AWS_74,DocDBEncryption,github/checkov/checkov/terraform/checks/resource/aws/DocDBEncryption.py
CKV_AWS_75,GlobalAcceleratorAcceleratorFlowLogs,github/checkov/checkov/terraform/checks/resource/aws/GlobalAcceleratorAcceleratorFlowLogs.py
CKV_AWS_76,APIGatewayAccessLogging,github/checkov/checkov/cloudformation/checks/resource/aws/APIGatewayAccessLogging.py
CKV_AWS_76,APIGatewayAccessLogging,github/checkov/checkov/terraform/checks/resource/aws/APIGatewayAccessLogging.py
CKV_AWS_77,AthenaDatabaseEncryption,github/checkov/checkov/terraform/checks/resource/aws/AthenaDatabaseEncryption.py
CKV_AWS_78,CodeBuildProjectEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/CodeBuildProjectEncryption.py
CKV_AWS_78,CodeBuildProjectEncryption,github/checkov/checkov/terraform/checks/resource/aws/CodeBuildProjectEncryption.py
CKV_AWS_79,IMDSv1Disabled,github/checkov/checkov/cloudformation/checks/resource/aws/IMDSv1Disabled.py
CKV_AWS_79,IMDSv1Disabled,github/checkov/checkov/terraform/checks/resource/aws/IMDSv1Disabled.py
CKV_AWS_80,MSKClusterLogging,github/checkov/checkov/cloudformation/checks/resource/aws/MSKClusterLogging.py
CKV_AWS_80,MSKClusterLogging,github/checkov/checkov/terraform/checks/resource/aws/MSKClusterLogging.py
CKV_AWS_81,MSKClusterEncryption,github/checkov/checkov/cloudformation/checks/resource/aws/MSKClusterEncryption.py
CKV_AWS_81,MSKClusterEncryption,github/checkov/checkov/terraform/checks/resource/aws/MSKClusterEncryption.py
CKV_AWS_82,AthenaWorkgroupConfiguration,github/checkov/checkov/cloudformation/checks/resource/aws/AthenaWorkgroupConfiguration.py
CKV_AWS_82,AthenaWorkgroupConfiguration,github/checkov/checkov/terraform/checks/resource/aws/AthenaWorkgroupConfiguration.py
CKV_AWS_83,ElasticsearchDomainEnforceHTTPS,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticsearchDomainEnforceHTTPS.py
CKV_AWS_83,ElasticsearchDomainEnforceHTTPS,github/checkov/checkov/terraform/checks/resource/aws/ElasticsearchDomainEnforceHTTPS.py
CKV_AWS_84,ElasticsearchDomainLogging,github/checkov/checkov/cloudformation/checks/resource/aws/ElasticsearchDomainLogging.py
CKV_AWS_84,ElasticsearchDomainLogging,github/checkov/checkov/terraform/checks/resource/aws/ElasticsearchDomainLogging.py
CKV_AWS_85,DocDBLogging,github/checkov/checkov/cloudformation/checks/resource/aws/DocDBLogging.py
CKV_AWS_85,DocDBLogging,github/checkov/checkov/terraform/checks/resource/aws/DocDBLogging.py
CKV_AWS_86,CloudfrontDistributionLogging,github/checkov/checkov/cloudformation/checks/resource/aws/CloudfrontDistributionLogging.py
CKV_AWS_86,CloudfrontDistributionLogging,github/checkov/checkov/terraform/checks/resource/aws/CloudfrontDistributionLogging.py
CKV_AWS_87,RedshiftClusterPubliclyAccessible,github/checkov/checkov/cloudformation/checks/resource/aws/RedshiftClusterPubliclyAccessible.py
CKV_AWS_87,RedshitClusterPubliclyAvailable,github/checkov/checkov/terraform/checks/resource/aws/RedshitClusterPubliclyAvailable.py
CKV_AWS_88,EC2PublicIP,github/checkov/checkov/cloudformation/checks/resource/aws/EC2PublicIP.py
CKV_AWS_88,EC2PublicIP,github/checkov/checkov/ansible/checks/task/aws/EC2PublicIP.py
CKV_AWS_88,EC2PublicIP,github/checkov/checkov/terraform/checks/resource/aws/EC2PublicIP.py
CKV_AWS_89,DMSReplicationInstancePubliclyAccessible,github/checkov/checkov/cloudformation/checks/resource/aws/DMSReplicationInstancePubliclyAccessible.py
CKV_AWS_89,DMSReplicationInstancePubliclyAccessible,github/checkov/checkov/terraform/checks/resource/aws/DMSReplicationInstancePubliclyAccessible.py
CKV_AWS_90,DocDBTLS,github/checkov/checkov/cloudformation/checks/resource/aws/DocDBTLS.py
CKV_AWS_90,DocDBTLS,github/checkov/checkov/terraform/checks/resource/aws/DocDBTLS.py
CKV_AWS_91,ELBv2AccessLogs,github/checkov/checkov/cloudformation/checks/resource/aws/ELBv2AccessLogs.py
CKV_AWS_91,ELBv2AccessLogs,github/checkov/checkov/terraform/checks/resource/aws/ELBv2AccessLogs.py
CKV_AWS_92,ELBAccessLogs,github/checkov/checkov/cloudformation/checks/resource/aws/ELBAccessLogs.py
CKV_AWS_92,ELBAccessLogs,github/checkov/checkov/terraform/checks/resource/aws/ELBAccessLogs.py
CKV_AWS_93,S3ProtectAgainstPolicyLockout,github/checkov/checkov/terraform/checks/resource/aws/S3ProtectAgainstPolicyLockout.py
